arm,time_months,survival
placebo_chemo_os,0.0000,1.00000
placebo_chemo_os,0.9412,1.00000
placebo_chemo_os,0.9412,1.00000
placebo_chemo_os,0.9412,0.99266
placebo_chemo_os,2.0980,0.99266
placebo_chemo_os,2.0980,0.99266
placebo_chemo_os,2.0980,0.99103
placebo_chemo_os,3.2614,0.99103
placebo_chemo_os,3.2614,0.99103
placebo_chemo_os,3.2614,0.98630
placebo_chemo_os,3.9853,0.98630
placebo_chemo_os,3.9853,0.98630
placebo_chemo_os,3.9853,0.97285
placebo_chemo_os,4.1797,0.97285
placebo_chemo_os,4.1797,0.97285
placebo_chemo_os,4.1797,0.95647
placebo_chemo_os,5.6176,0.95647
placebo_chemo_os,5.6176,0.95647
placebo_chemo_os,5.6176,0.94864
placebo_chemo_os,5.9559,0.94864
placebo_chemo_os,5.9559,0.94864
placebo_chemo_os,5.9559,0.93324
placebo_chemo_os,7.0980,0.93324
placebo_chemo_os,7.0980,0.93324
placebo_chemo_os,7.0980,0.92794
placebo_chemo_os,8.0290,0.92794
placebo_chemo_os,8.0290,0.92794
placebo_chemo_os,8.0290,0.89502
placebo_chemo_os,9.0784,0.89502
placebo_chemo_os,9.0784,0.89502
placebo_chemo_os,9.0784,0.89451
placebo_chemo_os,10.2059,0.89451
placebo_chemo_os,10.2059,0.89451
placebo_chemo_os,10.2059,0.89288
placebo_chemo_os,10.3294,0.89288
placebo_chemo_os,10.3294,0.89288
placebo_chemo_os,10.3294,0.86794
placebo_chemo_os,11.8471,0.86794
placebo_chemo_os,11.9794,0.86794
placebo_chemo_os,11.9794,0.86794
placebo_chemo_os,11.9794,0.85664
placebo_chemo_os,12.9853,0.85664
placebo_chemo_os,12.9853,0.85664
placebo_chemo_os,12.9853,0.84666
placebo_chemo_os,14.1732,0.84666
placebo_chemo_os,14.1732,0.84666
placebo_chemo_os,14.1732,0.81169
placebo_chemo_os,14.2588,0.81169
placebo_chemo_os,14.2588,0.81169
placebo_chemo_os,14.2588,0.79090
placebo_chemo_os,14.7189,0.79090
placebo_chemo_os,14.7189,0.79090
placebo_chemo_os,14.7189,0.75348
placebo_chemo_os,15.4216,0.75348
placebo_chemo_os,15.4216,0.75348
placebo_chemo_os,15.4216,0.74191
placebo_chemo_os,15.5401,0.74191
placebo_chemo_os,15.5401,0.74191
placebo_chemo_os,15.5401,0.72694
placebo_chemo_os,15.7326,0.72694
placebo_chemo_os,15.7326,0.72694
placebo_chemo_os,15.7326,0.71187
placebo_chemo_os,16.8735,0.71187
placebo_chemo_os,16.8735,0.71187
placebo_chemo_os,16.8735,0.69861
placebo_chemo_os,17.2647,0.69861
placebo_chemo_os,17.2647,0.69861
placebo_chemo_os,17.2647,0.68305
placebo_chemo_os,18.2026,0.68305
placebo_chemo_os,18.2026,0.68305
placebo_chemo_os,18.2026,0.66349
placebo_chemo_os,18.5882,0.66349
placebo_chemo_os,18.5882,0.66349
placebo_chemo_os,18.5882,0.64314
placebo_chemo_os,19.1235,0.64314
placebo_chemo_os,19.1235,0.64314
placebo_chemo_os,19.1235,0.62216
placebo_chemo_os,19.4967,0.62216
placebo_chemo_os,19.4967,0.62216
placebo_chemo_os,19.4967,0.59892
placebo_chemo_os,21.1324,0.59892
placebo_chemo_os,21.1324,0.59892
placebo_chemo_os,21.1324,0.59824
placebo_chemo_os,21.3235,0.59824
placebo_chemo_os,21.3235,0.59824
placebo_chemo_os,21.3235,0.56420
placebo_chemo_os,21.8984,0.56420
placebo_chemo_os,21.8984,0.56420
placebo_chemo_os,21.8984,0.52658
placebo_chemo_os,23.6912,0.52658
placebo_chemo_os,25.0936,0.52658
placebo_chemo_os,26.3971,0.52658
placebo_chemo_os,27.4853,0.52658
placebo_chemo_os,27.4853,0.52658
placebo_chemo_os,27.4853,0.47542
placebo_chemo_os,29.2500,0.47542
placebo_chemo_os,29.2500,0.47542
placebo_chemo_os,29.2500,0.41599
placebo_chemo_os,32.1414,0.41599
placebo_chemo_os,32.1414,0.41599
placebo_chemo_os,32.1414,0.20736
placebo_chemo_os,35.6324,0.20736
placebo_chemo_os,35.8824,0.20736
